#{"t_start": 1781566582.5097396, "env_id": "None"}
r,l,t
-16.458341,111,561.679848
-35.282773,112,562.1045
-25.978773,95,563.245019
7.09609,118,563.780258
-33.925913,106,564.182991
-45.180328,120,564.623292
0.050943,115,565.056093
-54.433881,108,565.486086
-13.900669,109,565.894189
-37.688103,90,566.235946
-37.17952,97,566.614363
-6.992503,122,567.091252
-29.721292,109,567.490095
-15.017703,120,567.937282
-36.910479,117,568.397333
-55.205372,108,568.797242
-23.056096,118,569.243395
-17.185937,118,569.685196
9.64074,129,570.185981
2.08647,146,570.7445
-25.885273,115,572.085132
-22.553735,119,572.565693
-17.72338,120,573.017073
-22.83636,110,573.442285
-14.247986,111,573.892535
-32.262597,117,574.335418
-9.460726,124,574.794585
-67.830737,123,575.252569
-41.446801,119,575.725998
-23.05957,123,576.191966
-41.034709,112,576.625853
-16.098313,125,577.117146
-18.857706,102,577.502032
-35.098691,107,577.900387
-8.224328,120,578.360286
4.672128,151,578.931036
-34.124725,116,579.358572
-6.960439,105,579.752887
-23.81382,112,580.957653
-7.359266,140,581.548554
-59.273128,124,582.012772
-13.283584,109,582.417918
-28.665933,99,582.798416
-43.28098,99,583.201393
-22.0576,112,583.623736
-26.027242,115,584.051658
-24.289732,103,584.466352
-29.654968,99,584.842134
-31.740365,112,585.260816
-24.087115,111,585.669606
-4.461868,111,586.118784
-21.720291,112,586.538371
117.771197,130,587.022458
-17.646741,129,587.521794
9.444843,113,587.945598
-17.136308,103,588.330468
-7.363999,127,589.610235
-32.891276,127,590.127212
-20.402072,93,590.505317
-0.649488,110,590.916067
-13.082864,109,591.333615
-20.172934,93,591.725815
-11.64922,116,592.159353
-28.463569,103,592.549245
-29.569154,113,592.971393
-17.93801,112,597.007217
-69.556319,159,597.581611
-6.955367,108,598.01735
-34.086379,100,598.402257
-22.512435,105,598.793148
12.127655,145,599.327269
-9.76856,99,599.725415
16.658386,118,600.188871
-12.844927,105,600.58994
-18.601292,130,601.86647
-29.760265,111,602.341787
-8.206641,102,602.720274
-59.581282,136,603.220319
-27.526534,105,603.620553
-44.002202,106,604.062945
-34.63213,109,604.47125
-21.835166,116,604.910658
-9.804543,118,605.380347
-22.20927,110,605.797834
-0.450849,117,606.24031
-17.892011,105,606.653256
-37.504144,97,607.049601
-37.979264,87,607.38316
-20.722434,95,607.741234
-18.235874,120,608.191152
-40.666191,96,608.582367
-42.579152,99,608.959144
-27.330775,94,609.316495
-52.654319,119,610.543377
-1.847847,114,611.011455
-23.997699,106,611.412277
-19.848039,124,611.877458
-0.097636,99,612.257634
-20.258205,98,612.631764
-23.661998,101,613.005022
-25.776856,105,613.394354
-20.33259,104,613.811831
-29.195241,101,614.197378
-35.058594,104,614.587416
-42.244072,107,614.996706
-18.13152,104,615.416209
-43.420651,118,615.857954
-24.416404,117,616.303935
-17.553779,107,616.711779
15.45679,121,617.182321
-44.110856,104,617.575002
-19.581472,97,617.964934
-2.570571,106,619.168678
-43.104369,99,619.593973
-47.818777,107,619.998121
-28.48524,105,620.392578
-42.791218,95,620.764767
-8.612168,107,621.196678
-19.281202,101,621.588074
-31.24121,92,621.935209
-14.467052,112,622.351139
-27.344484,123,622.835225
-31.400819,116,623.278924
75.588107,122,623.735529
-57.90588,105,624.128821
-16.447603,108,624.56048
-25.307402,107,624.967602
-1.801116,104,625.365525
-38.789627,105,625.762288
12.928224,114,626.223157
0.005483,119,626.668154
-28.712608,126,627.937884
5.077288,128,628.469726
-9.354264,114,628.905999
7.487452,117,629.341938
-14.618229,108,629.750377
-1.531888,123,630.234628
-29.262475,125,630.699634
-31.471914,118,631.138258
-15.192038,102,631.562317
6.525402,107,631.971035
-20.207394,101,632.366491
-34.42459,89,632.701386
-2.967241,138,633.229121
-17.650792,110,633.64803
9.643788,110,634.069622
-25.649301,98,634.460378
-5.692644,124,634.941754
-28.942187,129,635.422208
-6.924817,109,636.616253
-25.271366,108,637.064323
9.501019,119,637.503352
-45.241068,122,637.951547
-0.107478,105,638.343772
-42.977477,96,638.740196
-33.276752,100,642.593369
19.717472,134,643.096954
-46.970216,116,643.568406
-14.826494,106,643.968878
-14.778701,97,644.34158
-50.876531,113,644.774672
-51.00574,105,645.199553
-22.802224,104,645.591567
-18.610386,115,646.013868
-37.3708,93,646.377464
85.210859,130,646.889058
-19.020439,103,647.281745
1.115085,113,648.514149
-5.644188,95,648.941482
-14.719482,102,649.33305
-10.355514,103,649.722287
4.821332,110,650.135738
-35.495844,114,650.589395
18.384664,135,651.098158
-16.913106,84,651.418032
-20.383634,90,651.769641
-11.431637,100,652.177728
11.532979,127,652.664517
16.092189,130,653.153344
-52.365334,109,653.571127
-14.312826,116,654.036717
-16.528853,99,654.418721
-2.455019,95,654.783365
-6.932835,95,655.152226
11.577255,116,655.611977
-19.087365,104,656.014627
2.424609,112,657.292756
-11.51171,96,657.701135
-3.876705,119,658.149655
-23.607995,117,658.585669
-18.493303,100,658.967803
25.690027,116,659.419929
-32.410141,110,659.833603
2.639006,129,660.316329
-9.777554,103,660.732869
-15.726783,109,661.141287
-24.235945,106,661.546521
-7.142585,97,661.922768
6.422042,106,662.342448
-17.752449,116,662.785592
-15.53054,116,663.230949
-3.141501,99,663.606184
-33.456728,100,664.008828
21.675124,124,664.471876
-32.040632,100,664.849469
3.539096,95,665.975571
-17.138543,99,666.413691
-35.328838,98,666.810697
5.355941,105,667.20216
51.663044,122,667.661157
-12.552651,107,668.095357
9.109119,112,668.514326
11.947456,107,668.918759
40.630685,115,669.341634
-14.978199,104,669.760712
-2.749061,114,670.187936
5.483994,112,670.603423
7.823424,110,671.014169
-37.807236,117,671.473014
-6.353787,119,671.924671
-22.522988,122,672.392189
-23.579905,104,672.781244
-23.007618,103,673.195287
-8.251482,101,673.584157
21.969854,114,674.790959
-16.059565,88,675.178526
29.44339,129,675.665231
-13.689098,95,676.027567
-14.444081,107,676.430179
-22.700469,120,676.90111
-7.135454,129,677.376128
-9.659908,84,677.6929
-8.812155,97,678.060188
12.413638,121,678.534378
-12.64214,95,678.899565
-27.99096,109,679.313565
-12.844196,104,679.71567
-14.50551,106,680.142778
-19.857408,98,680.52055
6.842606,114,680.945003
-10.957532,105,681.349179
5.232516,121,681.838304
12.540812,111,682.253331
-5.0523,117,683.486121
7.337938,117,683.987288
-12.14469,104,684.372363
-21.761309,100,684.744289
-35.223713,82,685.06964
7.255333,117,688.898217
-6.278956,119,689.346122
-26.325322,96,689.711765
23.248597,118,690.180021
-7.744953,111,690.602109
-14.936342,96,690.980989
-6.950601,93,691.34278
-7.853251,109,691.782882
-25.415146,116,692.23032
-31.283401,95,692.600439
3.461655,115,693.043861
-36.526556,112,693.49125
-11.381976,90,693.831431
16.893396,119,694.268318
0.88848,106,695.468723
-7.693169,94,695.844475
-3.03749,110,696.276052
-28.257162,108,696.687401
8.712128,113,697.110439
-32.08908,88,697.462013
-20.485477,102,697.879769
11.908022,104,698.280387
-30.182964,91,698.627645
-45.958688,111,699.045851
-7.108041,102,699.453304
-38.343227,79,699.760402
-3.134493,110,700.189708
-13.467859,107,700.591742
-12.774165,93,700.952018
-60.005252,101,701.33976
-17.622692,107,701.743905
-29.923011,96,702.111965
-14.030076,92,702.486224
-40.485324,102,702.87798
-41.573127,93,703.233836
-2.154278,110,704.465183
-19.236524,94,704.870696
7.998912,107,705.278295
-9.163238,107,705.675588
-2.153789,116,706.110659
-21.775399,96,706.503376
30.008448,120,706.961645
-7.976873,108,707.371326
19.825327,112,707.79617
-17.678201,100,708.205295
-38.055603,101,708.59374
-40.619814,86,708.935025
-16.515695,95,709.29787
-17.660749,103,709.716029
-17.975446,93,710.074131
-12.37639,106,710.490752
30.254983,120,710.92502
-4.468224,122,711.416272
7.384529,111,711.834721
7.368635,97,712.9846
-8.092209,105,713.456746
7.625925,105,713.857911
2.855629,107,714.269667
-5.408791,97,714.637418
-2.802153,116,715.107385
-18.768212,108,715.519305
-14.274837,104,715.91333
-0.988618,104,716.300141
-19.804379,107,716.733171
8.529341,112,717.156775
-2.95943,114,717.592014
-8.024688,105,717.980713
-7.877841,111,718.426693
15.003831,111,718.857751
-4.72232,106,719.295245
-5.726839,109,719.773857
-3.407218,100,720.156984
1.447809,107,720.588645
8.908238,121,721.7722
19.834762,123,722.290053
141.718759,142,722.83472
-28.780847,103,723.224756
-3.614018,115,723.65584
-37.403229,107,724.065839
25.481084,122,724.5183
-24.578086,108,724.927428
-31.186127,105,725.345483
-15.447441,103,725.751478
-11.72371,107,726.154442
-1.743424,110,726.575679
-35.294868,114,727.023483
-17.403704,100,727.398836
-26.685937,112,727.820982
-9.819536,108,728.224728
8.057888,121,728.70193
7.053311,122,729.169351
-19.688732,102,730.319566
-13.630155,113,730.809451
-31.609775,117,731.254072
-0.457376,116,735.609151
-16.569817,118,736.046656
12.528791,114,736.463399
-12.805466,109,736.878658
-19.155694,115,737.334203
-7.934623,113,737.763112
47.709779,119,738.208227
46.013319,133,738.700464
24.858083,122,739.180191
-13.238224,112,739.590067
-3.276122,120,740.041465
-28.596065,112,740.486486
1.229766,116,740.916009
8.084576,124,741.368741
49.141773,124,741.842039
-0.53856,113,743.077746
109.338779,129,743.629271
29.340847,138,744.145602
-5.118417,113,744.573631
-11.048343,126,745.069299
-38.849971,114,745.501345
-1.232768,110,745.920375
-18.618573,107,746.338099
-5.55733,117,746.797188
8.978499,118,747.245967
-12.87614,113,747.671335
-21.737403,120,748.147226
-1.060686,113,748.572217
27.524301,126,749.039579
-10.969325,115,749.46946
0.139191,111,749.916559
-46.347085,128,750.390067
29.520726,120,751.623598
20.815252,121,752.116817
-4.463759,116,752.546721
101.600867,125,753.010936
-11.016667,111,753.426708
-16.048262,123,753.886397
120.925015,123,754.353474
-9.29879,111,754.771617
-9.118595,116,755.203639
34.227535,127,755.711962
359.652451,168,756.331707
-7.529037,113,756.757444
-4.730098,109,757.192466
-19.285031,115,757.620749
-32.112168,107,758.027677
9.593169,110,758.438007
0.477956,109,758.862142
-1.852848,116,760.054006
7.336636,115,760.544899
38.779766,124,761.012903
-9.066273,112,761.428469
69.291324,120,761.881325
-21.212166,112,762.326517
-11.229339,119,762.781152
-5.714845,109,763.191244
2.525429,108,763.60165
38.001564,120,764.074515
16.385595,114,764.499367
99.914275,131,764.981152
-10.623053,103,765.392475
67.207958,135,765.89802
-19.31102,107,766.30349
-36.696887,115,766.737558
299.856375,148,767.310717
-0.362706,116,767.735591
-15.96839,113,768.95974
-33.034069,102,769.380316
28.758639,113,769.794948
24.354503,132,770.28079
-13.569534,104,770.668746
322.755703,148,771.248983
-19.620242,102,771.643194
65.900278,139,772.164564
-3.168983,102,772.575498
-4.358077,105,772.966367
-15.570785,116,773.406411
-4.692368,103,773.79868
16.214033,114,774.262364
-0.19026,133,774.755907
124.358751,136,775.261642
90.841482,116,775.724595
17.697119,114,776.145809
43.400938,133,781.554577
0.757662,115,781.987063
6.111154,123,782.441218
389.428792,181,783.13265
6.049058,115,783.551256
72.242044,138,784.058729
-10.006634,123,784.538924
2.235096,112,784.955579
20.863313,112,785.382515
76.554834,128,785.888366
-1.190613,113,786.321351
125.018684,131,786.810623
-10.427417,117,787.245576
10.934866,121,787.731316
112.680717,147,788.267668
105.40429,156,788.836571
-4.681931,116,790.068743
273.202574,155,790.690316
4.752872,124,791.169045
10.093283,123,791.623031
3.630874,115,792.07348
-18.267031,117,792.522758
-51.398416,126,792.997632
-15.633928,118,793.465198
-4.924474,119,793.915497
6.235538,115,794.344808
23.064147,140,794.875424
48.111339,132,795.384607
-20.139614,124,795.856109
184.335539,153,796.421127
-6.295413,114,796.872769
36.230949,129,797.343253
41.135785,129,798.611245
77.477478,136,799.173878
2.392254,124,799.639459
-0.72881,114,800.07725
18.933435,121,800.552526
8.060776,106,800.95352
14.985823,129,801.428794
-12.166806,103,801.826518
32.577892,128,802.333693
50.338002,125,802.787698
17.482199,121,803.238
65.873725,128,803.737745
70.532444,136,804.27682
71.89687,147,804.82127
7.651949,108,805.264346
6.890556,127,805.729717
68.067621,141,806.246633
13.634642,110,807.482109
-0.009545,103,807.92354
96.600848,141,808.443602
2.46875,106,808.838628
7.891349,111,809.268965
91.839225,120,809.730322
84.244203,118,810.179286
220.764373,144,810.711668
1.515114,113,811.15919
-8.743642,114,811.597174
11.150247,117,812.036284
-10.325345,112,812.452326
55.2382,132,812.965981
46.879624,128,813.446592
-5.574707,113,813.871979
61.868545,125,814.36539
3.860754,118,814.801151
34.160705,124,816.079609
41.001965,120,816.598073
-25.396692,101,816.983367
51.821787,117,817.421016
1.748231,103,817.811523
65.690389,131,818.321175
-7.790751,103,818.716441
524.748598,167,819.326514
6.785744,113,819.763029
10.364845,107,820.211226
39.75151,136,820.729471
81.136619,121,821.182046
159.553315,147,821.759795
-4.08868,100,822.135807
10.168409,97,822.509709
29.32707,141,827.295646
0.912798,106,827.697691
129.782332,128,828.97951
-13.714685,117,829.453988
90.597135,127,829.932536
846.477228,278,830.925946
26.841232,116,831.362879
3.617898,102,831.758179
171.020914,142,832.267846
66.480067,120,832.714229
14.104021,107,833.142816
57.701533,133,833.633978
-9.52434,96,834.004028
8.940377,112,834.445765
64.051939,132,834.950688
247.039377,164,835.552334
247.832822,152,836.131203
392.550371,155,837.479761
659.556884,195,838.24147
9.343684,110,838.65691
337.230864,166,839.260676
3.112542,111,839.69643
19.49821,122,840.147204
8.247953,106,840.543077
28.632644,127,841.039679
883.356951,239,841.898533
124.646341,121,842.366714
4.749176,108,842.808995
7.546266,131,843.300213
392.962542,146,843.841593
1105.333056,247,844.770802
262.547479,147,846.132862
112.161243,144,846.690706
88.522765,125,847.159594
301.347855,159,847.731816
275.833573,175,848.397768
45.706431,116,848.841035
10.392893,115,849.275689
144.832169,128,849.775499
3.197721,113,850.20017
13.080252,105,850.597164
-8.524756,118,851.039092
-9.025847,106,851.449973
9.377445,102,851.845962
86.352541,126,852.310031
113.79053,132,852.822495
0.808843,102,853.203918
865.366644,220,854.804604
17.459152,128,855.314451
-5.321142,103,855.709714
-15.060311,112,856.125728
-33.903969,101,856.506478
7.826421,111,856.953859
-3.763478,126,857.416079
-10.040644,107,857.819861
-12.769612,101,858.233271
24.842832,126,858.699642
37.401187,129,859.175245
-7.636692,88,859.508837
-8.887457,104,859.926779
-8.612667,97,860.302113
-5.623535,94,860.660713
172.082297,133,861.160213
-4.233186,106,861.580819
27.150175,123,862.036974
77.476916,131,863.286248
65.512641,117,863.813415
534.462119,172,864.437513
-6.985401,113,864.853676
10.500572,111,865.267936
22.319733,119,865.712981
154.507917,135,866.223398
-8.05164,104,866.615781
71.866004,127,867.079984
-13.929931,124,867.538952
37.678591,122,867.992901
30.385309,126,868.480483
27.029953,129,873.489926
-9.613821,111,873.906155
15.920735,120,874.359835
-0.424613,100,874.733464
96.718459,121,875.959635
4.044136,123,876.471251
5.680926,117,876.9369
86.184322,133,877.436311
-2.046392,100,877.819102
25.173828,125,878.300033
97.682996,127,878.766042
68.431377,115,879.217609
235.297304,154,879.802441
12.645146,109,880.216525
20.397839,120,880.669507
2.828596,116,881.10147
1.371758,121,881.588381
23.214764,107,881.991662
70.666719,111,882.409568
141.534951,124,882.876285
17.852879,110,883.327007
605.430244,188,884.879846
53.786887,132,885.371814
17.188325,121,885.825351
496.296386,188,886.547538
20.500558,113,886.980141
93.831188,134,887.477639
-4.045159,139,888.010734
4.015474,118,888.474904
1.978546,114,888.93927
2.849663,105,889.338611
9.742412,123,889.848093
-3.119222,110,890.292234
-17.999167,111,890.714556
373.946554,191,891.476488
124.462645,131,891.970579
-3.424097,91,892.333143
179.457377,133,893.625802
22.973139,118,894.160061
346.556213,181,894.830515
55.347483,123,895.278447
39.605353,141,895.842796
-11.573405,116,896.340337
1547.74399,387,897.790936
23.187807,122,898.245232
1.61167,115,898.721819
-16.699394,112,899.194003
1037.99354,289,900.240073
35.209676,117,900.688013
412.216819,169,902.065721
457.349679,209,902.815437
60.964126,143,903.347176
54.573377,140,903.889533
71.474455,138,904.416838
28.138926,119,904.861778
30.795829,126,905.330977
43.858009,124,905.793427
101.642469,131,906.297682
-1.001481,113,906.738961
63.442034,132,907.229498
21.785052,125,907.696286
294.496225,198,908.41765
143.201544,134,908.907412
-3.113364,118,909.352239
106.579838,158,910.723276
19.927998,130,911.23301
1485.260979,384,912.588809
71.178049,131,913.075542
1056.224573,323,914.235707
-2.804469,104,914.621625
10.282876,124,915.11739
-28.123398,111,932.539391
22.026465,130,933.043316
808.691408,232,933.88006
-6.12038,109,934.278903
