#{"t_start": 1781566582.5097396, "env_id": "None"}
r,l,t
-113.880899,119,184.157771
-75.702466,104,184.560191
-107.52977,84,184.872915
-133.948426,92,185.225925
-74.906437,98,185.62625
-89.634062,120,186.881052
-95.198633,99,187.293007
-115.912905,97,187.695879
-64.851612,85,188.031155
-100.805846,100,188.402523
-100.630317,102,188.781059
-109.663486,84,189.13351
-102.201235,104,189.531371
-132.666905,86,189.862228
-114.499989,106,190.264769
-84.222463,109,190.699117
-115.766097,91,191.042261
-150.579928,95,191.40748
-123.102424,118,191.853188
-85.361856,123,192.332916
-98.920923,93,192.682938
-106.796622,101,193.071158
-159.793004,112,193.501447
-144.580787,100,193.907571
-127.227577,83,194.230632
-120.38297,122,194.693626
-118.648614,84,195.790432
-103.224866,97,196.192864
-98.681439,85,196.548727
-79.505958,88,196.890825
-66.092155,99,197.260708
-103.154481,98,197.62355
-65.018094,104,198.035999
-95.765243,88,198.390492
-126.862873,102,198.771771
-128.095168,132,199.257046
-106.86978,100,199.710367
-93.920213,90,200.054495
-101.150265,78,200.371851
-87.237613,92,200.722989
-100.76844,114,201.175653
-102.634263,105,201.574004
-98.807309,118,202.019028
-219.100299,133,202.540009
-111.449373,90,202.904022
-125.222096,99,203.284582
-97.272756,103,204.455285
-93.882382,87,204.855132
-105.661499,87,205.212922
-121.906645,86,205.542157
-102.318164,81,205.851284
-109.774456,92,206.198328
-81.462184,90,206.574286
-81.539853,83,206.896742
-91.161834,96,207.272655
-121.277271,90,207.615308
-177.272619,96,207.979381
-186.334555,80,208.324868
-54.384856,104,208.723914
-81.6893,91,209.076807
-179.306842,82,209.395663
-138.807622,112,209.81679
-203.229945,107,210.224898
-116.206828,87,210.561821
-105.538802,95,210.92984
-127.111307,87,211.277915
-24.362662,90,211.630763
-77.590944,87,211.986617
-102.034259,82,212.311548
-53.407508,101,213.481463
-155.728117,103,213.931798
-87.19539,80,214.241879
-108.531073,84,214.568694
-111.596174,92,214.916329
-144.585903,98,215.290304
-235.03482,106,215.719227
-76.297646,87,216.049248
-293.527018,106,216.454787
-189.089646,95,216.815082
-101.959624,87,217.177236
-151.221569,109,217.605266
-231.654881,127,218.077919
-173.720861,89,218.415733
-221.397779,95,218.807456
-89.292217,101,219.201344
-216.249778,107,219.60641
-82.662795,116,220.040732
-92.342467,95,220.430604
-93.924645,76,220.725591
-99.13095,98,221.103817
-182.748677,97,222.257329
-105.450839,95,222.665053
-93.488963,87,223.018744
-34.589664,99,223.400663
-184.443232,83,223.725468
-73.845824,102,224.117635
-287.686059,108,224.554737
-83.991102,88,224.89348
-139.000857,85,225.216349
-68.635147,109,228.426047
-90.982872,97,228.792807
-101.107773,110,229.228041
-102.003779,104,229.618267
-102.372959,82,229.932562
-158.899111,102,230.316483
-422.636147,143,230.868652
-145.770002,109,231.276549
-91.757609,83,231.60943
-77.807771,105,232.008426
-149.658466,94,232.41468
-155.390557,110,233.620171
-84.834892,93,234.011386
-68.241166,86,234.344036
-60.730834,108,234.74876
-108.262461,81,235.056744
-134.626871,95,235.423387
-136.309232,88,235.790954
-65.67793,84,236.113224
-114.526099,80,236.420231
-102.278955,111,236.842711
-112.023089,82,237.19043
-103.381472,91,237.534558
-161.470144,94,237.88883
-99.596346,83,238.211065
-62.332607,92,238.564105
-88.425811,96,238.970676
-61.414217,105,239.381372
-95.85261,91,239.738869
-73.230815,80,240.05209
-122.996771,90,240.406378
-58.775772,99,240.780111
-102.139511,98,241.148217
-53.71634,101,241.551945
-202.523131,83,242.710568
-83.245008,89,243.154683
-109.780655,85,243.479098
-147.990575,103,243.874321
-104.509696,93,244.227966
-77.516676,92,244.583572
